country,degree_centrality,betweenness,pagerank,hub_score,airport_count,outgoing_routes,incoming_routes,total_routes,continent,rank_routes,rank_betweenness,hidden_gem_score
South Sudan,0.067,0.0003,0.0012,0.0685,3,12,12,24,Other,184.5,174.0,10.5
New Caledonia,0.0625,0.0022,0.0017,0.0664,11,13,13,26,Other,181.0,123.0,58.0
Suriname,0.0625,0.0026,0.0012,0.0663,23,10,10,20,Other,188.0,118.0,70.0
Reunion,0.0625,0.0014,0.002,0.0659,3,22,24,46,Other,148.5,138.5,10.0
Namibia,0.0625,0.0015,0.0017,0.0657,18,19,19,38,Other,157.0,134.5,22.5
Guyana,0.0625,0.0018,0.001,0.0653,13,9,9,18,Other,192.0,127.5,64.5
Grenada,0.0625,0.0012,0.0015,0.0652,1,14,15,29,Other,175.5,142.0,33.5
Mongolia,0.0625,0.0016,0.0009,0.065,13,13,13,26,Other,181.0,130.5,50.5
Seychelles,0.0625,0.001,0.001,0.0645,8,12,12,24,Other,184.5,147.5,37.0
Mauritania,0.0625,0.0008,0.0011,0.0644,11,13,12,25,Other,183.0,154.5,28.5
Albania,0.0625,0.0005,0.0013,0.0643,5,36,36,72,Other,120.0,164.5,-44.5
Jersey,0.0625,0.0002,0.0015,0.0642,1,38,38,76,Other,116.0,182.5,-66.5
Equatorial Guinea,0.0625,0.0003,0.0014,0.0642,3,14,14,28,Other,177.5,174.0,3.5
Turks and Caicos Islands,0.0625,0.0001,0.0014,0.064,6,28,28,56,Other,134.5,192.5,-58.0
Laos,0.0625,0.0002,0.0013,0.064,14,30,30,60,Other,132.0,182.5,-50.5
Palau,0.0536,0.0071,0.0011,0.0618,1,10,9,19,Other,190.5,71.0,119.5
Chad,0.058,0.0011,0.0011,0.0602,6,9,10,19,Other,190.5,144.5,46.0
Saint Kitts and Nevis,0.0536,0.0044,0.0013,0.0593,2,15,16,31,Other,170.5,99.5,71.0
French Polynesia,0.0536,0.0036,0.0015,0.0587,44,17,17,34,Other,165.5,106.5,59.0
Comoros,0.0536,0.0015,0.0015,0.0566,4,10,10,20,Other,188.0,134.5,53.5
Mozambique,0.0536,0.0009,0.0018,0.0563,19,23,23,46,Other,148.5,150.5,-2.0
Malawi,0.0536,0.0008,0.0016,0.056,10,15,16,31,Other,170.5,154.5,16.0
Eritrea,0.0536,0.0011,0.0009,0.0556,3,7,7,14,Other,197.0,144.5,52.5
Liberia,0.0536,0.0001,0.0017,0.0554,3,18,18,36,Other,160.0,192.5,-32.5
Somalia,0.0536,0.0001,0.0016,0.0553,9,15,21,36,Other,160.0,192.5,-32.5
Cayman Islands,0.0536,0.0003,0.0013,0.0552,3,23,25,48,Other,144.0,174.0,-30.0
Gambia,0.0536,0.0,0.0013,0.0549,1,13,13,26,Other,181.0,212.0,-31.0
Vanuatu,0.0446,0.0,0.0019,0.0465,29,16,16,32,Other,168.5,212.0,-43.5
Botswana,0.0446,0.0004,0.0015,0.0465,16,14,14,28,Other,177.5,167.5,10.0
Mayotte,0.0446,0.0002,0.0016,0.0464,1,15,15,30,Other,173.0,182.5,-9.5
Guernsey,0.0446,0.0004,0.001,0.046,2,18,18,36,Other,160.0,167.5,-7.5
Belize,0.0446,0.0,0.0011,0.0457,3,17,17,34,Other,165.5,212.0,-46.5
Guinea-Bissau,0.0446,0.0,0.0011,0.0457,3,7,7,14,Other,197.0,212.0,-15.0
Nicaragua,0.0446,0.0,0.0011,0.0457,13,15,14,29,Other,175.5,212.0,-36.5
Marshall Islands,0.0357,0.0054,0.0017,0.0428,8,5,5,10,Other,205.0,92.0,113.0
Saint Vincent and the Grenadines,0.0402,0.0009,0.001,0.0421,5,4,5,9,Other,208.0,150.5,57.5
British Virgin Islands,0.0402,0.0,0.0014,0.0416,3,16,16,32,Other,168.5,212.0,-43.5
Kiribati,0.0357,0.0,0.0016,0.0373,18,7,7,14,Other,197.0,212.0,-15.0
Solomon Islands,0.0357,0.0001,0.0013,0.0371,24,8,8,16,Other,193.0,192.5,0.5
Cook Islands,0.0357,0.0003,0.001,0.037,8,8,7,15,Other,194.0,174.0,20.0
French Guiana,0.0357,0.0,0.001,0.0367,6,7,7,14,Other,197.0,212.0,-15.0
Anguilla,0.0357,0.0001,0.0009,0.0367,1,6,6,12,Other,200.5,192.5,8.0
Northern Mariana Islands,0.0357,0.0,0.0009,0.0366,3,10,10,20,Other,188.0,212.0,-24.0
Samoa,0.0312,0.0037,0.001,0.0359,3,5,6,11,Other,202.0,104.0,98.0
Burundi,0.0312,0.0,0.0013,0.0325,2,13,14,27,Other,179.0,212.0,-33.0
Nauru,0.0268,0.0032,0.0012,0.0312,1,3,3,6,Other,213.5,110.0,103.5
Christmas Island,0.0179,0.0089,0.002,0.0288,1,2,2,4,Other,217.5,63.5,154.0
Tonga,0.0268,0.0006,0.001,0.0284,6,5,5,10,Other,205.0,161.5,43.5
Micronesia,0.0268,0.0,0.0014,0.0282,4,5,5,10,Other,205.0,212.0,-7.0
East Timor,0.0268,0.0003,0.0008,0.0279,3,4,4,8,Other,209.5,174.0,35.5
North Korea,0.0268,0.0003,0.0008,0.0279,5,5,5,10,Other,205.0,174.0,31.0
Bermuda,0.0268,0.0,0.001,0.0278,1,15,15,30,Other,173.0,212.0,-39.0
Sao Tome and Principe,0.0268,0.0002,0.0008,0.0278,2,3,4,7,Other,211.0,182.5,28.5
Bhutan,0.0268,0.0,0.0008,0.0276,3,5,5,10,Other,205.0,212.0,-7.0
Wallis and Futuna,0.0179,0.0,0.0009,0.0188,2,2,2,4,Other,217.5,212.0,5.5
Central African Republic,0.0179,0.0001,0.0008,0.0188,2,3,3,6,Other,213.5,192.5,21.0
Isle of Man,0.0179,0.0,0.0009,0.0188,1,11,11,22,Other,186.0,212.0,-26.0
Western Sahara,0.0179,0.0,0.0008,0.0187,3,7,7,14,Other,197.0,212.0,-15.0
Greenland,0.0179,0.0,0.0008,0.0187,56,3,3,6,Other,213.5,212.0,1.5
Faroe Islands,0.0179,0.0,0.0007,0.0186,7,4,4,8,Other,209.5,212.0,-2.5
Norfolk Island,0.0134,0.0,0.0007,0.0141,1,3,2,5,Other,216.0,212.0,4.0
Cocos (Keeling) Islands,0.0089,0.0,0.0015,0.0104,1,1,1,2,Other,221.5,212.0,9.5
Gibraltar,0.0089,0.0,0.0008,0.0097,1,6,6,12,Other,200.5,212.0,-11.5
Falkland Islands,0.0089,0.0001,0.0007,0.0097,2,1,1,2,Other,221.5,192.5,29.0
Tuvalu,0.0089,0.0,0.0008,0.0097,1,1,1,2,Other,221.5,212.0,9.5
American Samoa,0.0089,0.0,0.0007,0.0096,2,1,1,2,Other,221.5,212.0,9.5
Saint Pierre and Miquelon,0.0089,0.0,0.0007,0.0096,2,3,3,6,Other,213.5,212.0,1.5
Lesotho,0.0089,0.0,0.0007,0.0096,3,1,1,2,Other,221.5,212.0,9.5
Swaziland,0.0089,0.0,0.0007,0.0096,2,1,1,2,Other,221.5,212.0,9.5
Niue,0.0045,0.0,0.0007,0.0052,1,1,0,1,Other,225.0,212.0,13.0
